Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
3550	-962.501	-152.488	-810.013	0.0353195	0.0237524	0.00884127	0.00896269	0.0366743	0.0342752	0.0806998	0.0701078	0.0710685	0.0724608	0.0821594	0.0739514	0.0292106	0.0908226	0.0915518	0.0927665	0.0291794	0.0681959	0.110935	0.0752707	0.813794	0	0.6140452
3600	-961.39	-151.498	-809.892	0.0308376	0.0107263	0.0064174	0.00670281	0.0330333	0.0332137	0.0790118	0.0661258	0.0643599	0.0680835	0.0821824	0.0814505	0.0351881	0.106111	0.104502	0.108731	0.0342042	0.0491184	0.0651604	0.11017	0.82467	0	0.1862528
3650	-959.224	-148.81	-810.414	0.0931548	0.0407835	0.0202026	0.0211205	0.110409	0.111016	0.0619987	0.0682122	0.0691572	0.0679736	0.0640979	0.0618742	0.00634708	0.0620147	0.0624855	0.0616992	0.00555972	0.0118936	0.0119106	0.047537	0.940552	0	0.1459602
3700	-959.581	-149.505	-810.076	0.142793	0.111091	0.0148544	0.0147939	0.17158	0.17061	0.0393344	0.0482543	0.0480837	0.0447397	0.0399639	0.0384152	0.00077645	0.0350454	0.0349919	0.0334521	0.000769561	0.0104508	0.0078573	0.000745483	0.991397	0	0.3526532
3750	-959.462	-150.218	-809.244	0.0707185	0.0356244	0.0131448	0.0137816	0.0821836	0.0823209	0.0714097	0.0763669	0.0772534	0.0793469	0.077285	0.0749412	0.0110572	0.0658433	0.066236	0.0676027	0.010273	0.024611	0.00904175	0.0949639	0.895994	0	0.2991917
3800	-964.638	-154.533	-810.105	0.0659756	0.0398394	0.0301688	0.0307111	0.070767	0.0710021	0.0645082	0.064086	0.0657649	0.0666203	0.0657674	0.0629384	0.0313197	0.0677443	0.0686177	0.0692353	0.0294202	0.0355136	0.0598313	0.236007	0.704162	0	0.2526139
3850	-957.697	-146.931	-810.767	0.0572317	0.0396925	0.00318986	0.00331412	0.0663276	0.066107	0.0707009	0.0748922	0.0741582	0.0755084	0.0759294	0.0746516	0.00430003	0.0875621	0.0871522	0.0880357	0.00409586	0.0471505	0.00452025	0.021255	0.974225	0	0.5240356
3900	-957.345	-147.848	-809.496	0.0950441	0.063447	0.0176678	0.0185175	0.114904	0.114581	0.0520266	0.058836	0.059913	0.0605776	0.0561417	0.0535791	0.0064244	0.0651281	0.0657329	0.0663202	0.00601518	0.0251441	0.0125331	0.0442198	0.943247	0	0.378406
3950	-961.617	-151.631	-809.986	0.0630295	0.0401809	0.00901756	0.00924565	0.0726476	0.0720716	0.0655348	0.0679311	0.0679438	0.0692432	0.0694863	0.0671056	0.0118038	0.0869616	0.0869641	0.0878344	0.0112718	0.0417266	0.0236165	0.0285485	0.947835	0	0.4249202
4000	-959.129	-149.618	-809.51	0.0391125	0.0253849	0.00582546	0.00594981	0.0422296	0.0406993	0.0725901	0.0671103	0.0671219	0.0687988	0.0756748	0.0708087	0.0201133	0.102847	0.102849	0.10435	0.0199051	0.0686282	0.0425652	0.0550906	0.902344	0	0.5703225
4050	-962.466	-153.33	-809.136	0.0389869	0.0345855	0.0112384	0.011398	0.0409172	0.0401586	0.0886008	0.0829723	0.0854666	0.0869738	0.0896544	0.0826277	0.0188626	0.0690172	0.0698795	0.0704525	0.0186099	0.0595981	0.0368514	0.0981508	0.864998	0	0.8462076
4100	-961.839	-152.207	-809.632	0.0779887	0.0683247	0.0324626	0.0350063	0.0952472	0.0961998	0.0520526	0.0512626	0.0541605	0.0568521	0.0553177	0.0506944	0.0174679	0.0642216	0.0653725	0.0667187	0.0164335	0.0442165	0.002275	0.119807	0.877918	0	0.6715001
4150	-961.455	-149.943	-811.512	0.0456491	0.025429	0.00938389	0.00956528	0.0493291	0.0481726	0.0753717	0.0699317	0.0699053	0.071856	0.0783564	0.0745328	0.0215494	0.0922115	0.0921841	0.0938913	0.0213965	0.0512846	0.0721989	0.0484541	0.879347	0	0.40889
4200	-962.317	-150.974	-811.343	0.0772057	0.0575159	0.0163282	0.016571	0.083455	0.0811728	0.0600665	0.0615388	0.0637249	0.0648095	0.0621302	0.0578527	0.0131005	0.0745433	0.0759007	0.076801	0.0128663	0.0444172	0.0469353	0.0484115	0.904653	0	0.5711483
