Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
3200	-981.448	-172.077	-809.371	0.0472804	0.0472804	0.0472804	0.0472804	0.0472804	0.0472804	0.0623054	0.0623054	0.0623054	0.0623054	0.0623054	0.0623054	0.0570809	0.0570809	0.0570809	0.0570809	0.0570809	0.0570809	0.324124	0.0845501	0.591326	1	1
3250	-979.441	-169.615	-809.826	0.0359113	0.0359113	0.0359113	0.0359113	0.0359113	0.0359113	0.0776738	0.0776738	0.0776738	0.0776738	0.0776738	0.0776738	0.0530816	0.0530816	0.0530816	0.0530816	0.0530816	0.0530816	0.167867	0.162799	0.669334	1	1
3300	-980.993	-170.228	-810.765	0.0138964	0.0138964	0.0138964	0.0138964	0.0138964	0.0138964	0.0859184	0.0859184	0.0859184	0.0859184	0.0859184	0.0859184	0.0668518	0.0668518	0.0668518	0.0668518	0.0668518	0.0668518	0.0410113	0.0299811	0.929008	1	1
3350	-980.342	-170.656	-809.685	0.0234154	0.0234154	0.0234154	0.0234154	0.0234154	0.0234154	0.0778824	0.0778824	0.0778824	0.0778824	0.0778824	0.0778824	0.0653688	0.0653688	0.0653688	0.0653688	0.0653688	0.0653688	0.292016	0.0453122	0.662672	1	1
3400	-986.116	-173.935	-812.181	0.00591157	0.00591157	0.00591157	0.00591157	0.00591157	0.00591157	0.0314448	0.0314448	0.0314448	0.0314448	0.0314448	0.0314448	0.12931	0.12931	0.12931	0.12931	0.12931	0.12931	0.217053	0.291003	0.491944	1	1
3450	-979.439	-169.88	-809.558	0.0356124	0.0356124	0.0356124	0.0356124	0.0356124	0.0356124	0.0530218	0.0530218	0.0530218	0.0530218	0.0530218	0.0530218	0.0780324	0.0780324	0.0780324	0.0780324	0.0780324	0.0780324	0.691327	0.119527	0.189147	1	1
3500	-984.387	-174.125	-810.262	0.0200936	0.0200936	0.0200936	0.0200936	0.0200936	0.0200936	0.0544625	0.0544625	0.0544625	0.0544625	0.0544625	0.0544625	0.0921105	0.0921105	0.0921105	0.0921105	0.0921105	0.0921105	0.280377	0.302646	0.416976	1	1
3550	-982.224	-173.173	-809.052	0.0954583	0.0954583	0.0954583	0.0954583	0.0954583	0.0954583	0.0595934	0.0595934	0.0595934	0.0595934	0.0595934	0.0595934	0.011615	0.011615	0.011615	0.011615	0.011615	0.011615	0.624769	0.323248	0.0519825	1	1
3600	-979.782	-170.539	-809.244	0.0411785	0.0411785	0.0411785	0.0411785	0.0411785	0.0411785	0.0771809	0.0771809	0.0771809	0.0771809	0.0771809	0.0771809	0.0483073	0.0483073	0.0483073	0.0483073	0.0483073	0.0483073	0.161521	0.460925	0.377554	1	1
3650	-979.661	-169.813	-809.848	0.0511059	0.0511059	0.0511059	0.0511059	0.0511059	0.0511059	0.0739235	0.0739235	0.0739235	0.0739235	0.0739235	0.0739235	0.0416373	0.0416373	0.0416373	0.0416373	0.0416373	0.0416373	0.529643	0.185331	0.285026	1	1
3700	-984.483	-171.207	-813.276	0.0446992	0.0446992	0.0446992	0.0446992	0.0446992	0.0446992	0.0538548	0.0538548	0.0538548	0.0538548	0.0538548	0.0538548	0.0681126	0.0681126	0.0681126	0.0681126	0.0681126	0.0681126	0.150182	0.766317	0.0835015	1	1
3750	-984.12	-172.836	-811.284	0.0395763	0.0395763	0.0395763	0.0395763	0.0395763	0.0395763	0.0624758	0.0624758	0.0624758	0.0624758	0.0624758	0.0624758	0.0646146	0.0646146	0.0646146	0.0646146	0.0646146	0.0646146	0.485947	0.147294	0.366759	1	1
3800	-981.024	-171.621	-809.403	0.0178441	0.0178441	0.0178441	0.0178441	0.0178441	0.0178441	0.0634479	0.0634479	0.0634479	0.0634479	0.0634479	0.0634479	0.0853746	0.0853746	0.0853746	0.0853746	0.0853746	0.0853746	0.680053	0.231987	0.0879609	1	1
3850	-978.283	-169.167	-809.116	0.0856978	0.0856978	0.0856978	0.0856978	0.0856978	0.0856978	0.0422105	0.0422105	0.0422105	0.0422105	0.0422105	0.0422105	0.0387584	0.0387584	0.0387584	0.0387584	0.0387584	0.0387584	0.544093	0.342202	0.113705	1	1
3900	-980.965	-170.132	-810.833	0.0454608	0.0454608	0.0454608	0.0454608	0.0454608	0.0454608	0.0553449	0.0553449	0.0553449	0.0553449	0.0553449	0.0553449	0.065861	0.065861	0.065861	0.065861	0.065861	0.065861	0.206862	0.740668	0.0524701	1	1
3950	-983.374	-172.152	-811.221	0.0777974	0.0777974	0.0777974	0.0777974	0.0777974	0.0777974	0.0397053	0.0397053	0.0397053	0.0397053	0.0397053	0.0397053	0.049164	0.049164	0.049164	0.049164	0.049164	0.049164	0.571341	0.242689	0.18597	1	1
4000	-979.174	-169.473	-809.701	0.0684965	0.0684965	0.0684965	0.0684965	0.0684965	0.0684965	0.0517733	0.0517733	0.0517733	0.0517733	0.0517733	0.0517733	0.0463969	0.0463969	0.0463969	0.0463969	0.0463969	0.0463969	0.033937	0.827661	0.138402	1	1
4050	-980.515	-170.314	-810.201	0.0696326	0.0696326	0.0696326	0.0696326	0.0696326	0.0696326	0.0371563	0.0371563	0.0371563	0.0371563	0.0371563	0.0371563	0.0598777	0.0598777	0.0598777	0.0598777	0.0598777	0.0598777	0.232134	0.430079	0.337787	1	1
4100	-979.09	-169.761	-809.329	0.0273798	0.0273798	0.0273798	0.0273798	0.0273798	0.0273798	0.0633763	0.0633763	0.0633763	0.0633763	0.0633763	0.0633763	0.0759106	0.0759106	0.0759106	0.0759106	0.0759106	0.0759106	0.726962	0.227052	0.0459853	1	1
4150	-979.224	-169.55	-809.674	0.0334369	0.0334369	0.0334369	0.0334369	0.0334369	0.0334369	0.0635211	0.0635211	0.0635211	0.0635211	0.0635211	0.0635211	0.0697087	0.0697087	0.0697087	0.0697087	0.0697087	0.0697087	0.184627	0.704003	0.111369	1	1
4200	-981.462	-172.118	-809.344	0.0338165	0.0338165	0.0338165	0.0338165	0.0338165	0.0338165	0.0450089	0.0450089	0.0450089	0.0450089	0.0450089	0.0450089	0.0878412	0.0878412	0.0878412	0.0878412	0.0878412	0.0878412	0.292296	0.194629	0.513075	1	1
4250	-979.38	-169.885	-809.495	0.0537691	0.0537691	0.0537691	0.0537691	0.0537691	0.0537691	0.0562548	0.0562548	0.0562548	0.0562548	0.0562548	0.0562548	0.0566427	0.0566427	0.0566427	0.0566427	0.0566427	0.0566427	0.120002	0.638435	0.241563	1	1
4300	-979.562	-169.992	-809.57	0.048328	0.048328	0.048328	0.048328	0.048328	0.048328	0.0769214	0.0769214	0.0769214	0.0769214	0.0769214	0.0769214	0.0414173	0.0414173	0.0414173	0.0414173	0.0414173	0.0414173	0.420896	0.095806	0.483298	1	1
